條文ID,法規,條號,條文摘要
L001,勞動基準法,第59條,職業災害補償（醫療、工資、失能、死亡）
L002,勞動基準法,第63-1條,派遣事業單位連帶補償責任
L003,勞工職業災害保險及保護法,第27條,通勤災害保險給付準用
L004,勞工職業災害保險及保護法,第42條,傷病給付
L005,勞工職業災害保險及保護法,第43條,失能給付
L006,勞工職業災害保險及保護法,第49條,死亡給付（喪葬津貼、遺屬年金）
L007,職業安全衛生法,第37條,重大職災8小時內通報主管機關
L008,職業安全衛生法,第6條,雇主危害預防措施義務
L009,職業安全衛生法,第20條,健康檢查實施義務
L010,勞工職業災害保險及保護法,第63條,職業病認定基準
L011,民法,第188條,僱用人對受僱人侵害第三人之連帶賠償責任（雇主代位責任）
L012,民法,第483-1條,僱用人保護受僱人安全之義務
L013,民法,第195條,侵害人格權（含生命/身體）得請求精神慰撫金
L014,民法,第217條,與有過失減免賠償（職災抗辯）
L015,公司法,第23條,公司負責人忠實執行業務及違法行為連帶責任
L016,刑法,第276條,業務過失致死（雇主刑責，5年以下徒刑）
L017,刑法,第284條,業務過失傷害（雇主刑責，1年以下徒刑或併科罰金）
L018,職業安全衛生法,第40條,違反§6致發生職災刑責（3年以下徒刑或30萬罰金）
L019,職業安全衛生法,第43條,違反§37通報義務罰鍰（3-30萬）
L020,勞動基準法,第79條,違反勞基法主要義務罰鍰（2-100萬，可重罰）
L021,性別平等工作法,第13條,雇主防治性騷擾及不法侵害義務
L022,性別平等工作法,第38-1條,違反防治義務罰鍰（10-50萬）
L023,大量解僱勞工保護法,第4條,大量解僱60日前通知義務（雇主合規）
L024,勞動事件法,第37條,工資推定（爭議時舉證責任倒置）
L025,勞動事件法,第15條,勞動調解前置程序（強制）
L026,勞工請假規則,第4條,普通傷病假（含住院30日、未住院1年內30日）
L027,勞工請假規則,第6條,公傷病假（職災期間給予公傷病假）
L028,勞工退休金條例,第14條,雇主每月提繳工資6%（合規）
L029,個人資料保護法,第27條,員工個資保護及通報義務
L030,行政罰法,第7條,故意過失之歸責原則（雇主免責空間）
L031,職業安全衛生設施規則,第324-2條,異常工作負荷促發疾病預防措施（過勞風險評估與改善）
L032,職業安全衛生設施規則,第324-3條,執行職務遭受不法侵害預防措施（職場霸凌/暴力/第三方侵害）
L033,勞動基準法,第30條,正常工時、出勤紀錄記載與保存義務
L034,勞動基準法,第32條,延長工時限制、加班程序與工時上限
L035,勞動基準法,第36條,例假、休息日與連續出勤限制
